tc_name,index,payout_entity_file_name,exp_payout_entity_type,exp_payout_entity_name,exp_bank_account_number,exp_bank_routing_number,exp_irs_tin,response,error_code,error_message
PayoutEntity288 - Verify duplication of Merchant Payout entity is not permitted - with the same Routing number Account number and IRS_tin,1,merchant.json,merchant,MERCHANT,23510000,215545677,482456323,200,,
PayoutEntity288 - Verify duplication of Merchant Payout entity is not permitted - with the same Routing number Account number and IRS_tin,1,merchant.json,merchant,MERCHANT,23510000,215545677,482456323,400,server_error,Event object failed validation
PayoutEntity310 - Verify duplication of Lender Payout entity is not permitted - with the same Routing number Account number and IRS_tin,2,merchant.json,lender,BHG Funding Account,80000000,64008637,451456898,200,,
PayoutEntity310 - Verify duplication of Lender Payout entity is not permitted - with the same Routing number Account number and IRS_tin,2,merchant.json,lender,BHG Funding Account,80000000,64008637,451456898,400,server_error,Event object failed validation
PayoutEntity272 - Verify duplication of Organization Payout entity is not permitted - with the same Routing number Account number and IRS_tin,3,merchant.json,organization,BHG Operating,37900000,64008637,113456444,200,,
PayoutEntity272 - Verify duplication of Organization Payout entity is not permitted - with the same Routing number Account number and IRS_tin,3,merchant.json,organization,BHG Operating,37900000,64008637,113456444,400,server_error,Event object failed validation
PayoutEntity332 - Verify duplication of ACH Clearing - Payout entity is not permitted - with the same Routing number Account number and IRS_tin,4,merchant.json,clearing,ACH Clearing,68100000,64008637,102456545,200,,
PayoutEntity332 - Verify duplication of ACH Clearing - Payout entity is not permitted - with the same Routing number Account number and IRS_tin,4,merchant.json,clearing,ACH Clearing,68100000,64008637,102456545,400,server_error,Event object failed validation
PayoutEntity353 - Verify duplication of Debit card Clearing - Payout entity is not permitted - with the same Routing number Account number and IRS_tin,5,merchant.json,clearing,Card Clearing,76400000,64008637,505456222,200,,
PayoutEntity353 - Verify duplication of Debit card Clearing - Payout entity is not permitted - with the same Routing number Account number and IRS_tin,5,merchant.json,clearing,Card Clearing,76400000,64008637,505456222,400,server_error,Event object failed validation
PayoutEntity374 - Verify duplication of Lockbox Clearing - Payout entity is not permitted - with the same Routing number Account number and IRS_tin,6,merchant.json,clearing,Lockbox Clearing,71500000,64008637,203456789,200,,
PayoutEntity374 - Verify duplication of Lockbox Clearing - Payout entity is not permitted - with the same Routing number Account number and IRS_tin,6,merchant.json,clearing,Lockbox Clearing,71500000,64008637,203456789,400,server_error,Event object failed validation
PayoutEntity289 - Verify multiple Merchant Payout entities can be created for the same client using different irs_tin-account number different,7,merchant.json,merchant,MERCHANT,23510000,64008637,482456323,200,,
PayoutEntity289 - Verify multiple Merchant Payout entities can be created for the same client using different irs_tin-account number different,7,merchant.json,merchant,MERCHANT,23510001,64008637,482456323,200,,
PayoutEntity311 - Verify multiple Lender Payout entities can be created for the same client using different irs_tin-account number different,8,merchant.json,lender,BHG Funding Account,80000000,64008637,451456898,200,,
PayoutEntity311 - Verify multiple Lender Payout entities can be created for the same client using different irs_tin-account number different,8,merchant.json,lender,BHG Funding Account,80000001,64008637,451456898,200,,
PayoutEntity273 - Verify multiple Organisation Payout entities can be created for the same client using the same irs_tin-account number different,9,merchant.json,organization,BHG Operating,37900000,64008637,113456444,200,,
PayoutEntity273 - Verify multiple Organisation Payout entities can be created for the same client using the same irs_tin-account number different,9,merchant.json,organization,BHG Operating,37900001,64008637,113456444,200,,
PayoutEntity333 - Verify multiple ACH Payout entities can be created for the same client using the same irs_tin-account number different,10,merchant.json,clearing,ACH Clearing,68100000,64008637,102456545,200,,
PayoutEntity333 - Verify multiple ACH Payout entities can be created for the same client using the same irs_tin-account number different,10,merchant.json,clearing,ACH Clearing,68100001,64008637,102456545,200,,
PayoutEntity354 - Verify multiple Debit Card clearing Payout entities can be created for the same client using the same irs_tin-account number different,11,merchant.json,clearing,Card Clearing,76400000,64008637,505456222,200,,
PayoutEntity354 - Verify multiple Debit Card clearing Payout entities can be created for the same client using the same irs_tin-account number different,11,merchant.json,clearing,Card Clearing,76400001,64008637,505456222,200,,
PayoutEntity375 - Verify multiple Lockbox clearing Payout entities can be created for the same client using the same irs_tin-account number different,12,merchant.json,clearing,Lockbox Clearing,71500000,64008637,203456789,200,,
PayoutEntity375 - Verify multiple Lockbox clearing Payout entities can be created for the same client using the same irs_tin-account number different,12,merchant.json,clearing,Lockbox Clearing,71500001,64008637,203456789,200,,

